CPU time to construct a MovieNet Database: 166 millisec
Bacon number of Kells, Jane : 3
Bacon number of Cossins, James : 3
Bacon number of Girardot, Annie : 4
Bacon number of May, Bert : 4
Bacon number of Boy, Lola : 4
Bacon number of Bennett, Ruth (I) : 4
Bacon number of Ellis, June C. (I) : 3
Bacon number of McLellan, Pheona : 3
Bacon number of Oka, Yutaka : 4
Bacon number of O'Brien, Mary (IV) : 3
Bacon number of Williamson, Simon : 3
Bacon number of Ford, Brendon : 4
Bacon number of Reitherman, Bruce : 3
Bacon number of Wellman Jr., William : 3
Bacon number of Batchuluun, Nansalmaa : -1
Bacon number of Morrissey, Betty : 4
Bacon number of John, Elton : 3
Bacon number of Wayland, Len : 3
Bacon number of Reed, Don (I) : 3
Bacon number of James, Charity Nicole : 4
Bacon number of Thorne-Smith, Courtney : 3
Bacon number of Pfau, Tracy : 3
Bacon number of Clements, Jill Jane : 4
Bacon number of Pickard, John (I) : 3
Bacon number of L?fgren, Sven (I) : 5
Bacon number of Benham, Joan : 3
Bacon number of Bromberg, J. Edward : 4
Bacon number of Hickman, Bill : 3
Bacon number of Royde, Frank : 3
Bacon number of Cox, Evelyn : -1
Bacon number of Pedroza, Robert A. : 3
Bacon number of Koumani, Maya : 4
Bacon number of Miller, Karen (I) : 4
Bacon number of Hopf, Hans : 3
Bacon number of MacNeil, Cornell : 4
CPU time to process queries : 2084 millisec

Memory consumption: 125616336 bytes

