CPU time to construct a MovieNet Database: 163 millisec
Closeness of Austin, Robert : 1328.7656
Closeness of McCabe, Tom : 2540.625
Closeness of VeSota, Bruno : 2367.75
Closeness of Chambers, Lossen : 1507.6875
Closeness of Doumani, Lorenzo : 1909.9062
Closeness of Alperin, Ya'akov : 1636.2188
Closeness of Yip, William (I) : 2326.0625
Closeness of Dunn, Pete (I) : 2617.8125
Closeness of Trevino, Antonio : 2244.4375
Closeness of Gugino, Carla : 1836.6406
Closeness of Humphries, Barry : 1904.1719
Closeness of Juhlin, Niklas : 677.2578
Closeness of von Krosigk, Sidonie : 774.0078
Closeness of Paulo, Kathy : 1901.9688
Closeness of Rivero, Santiago : 1367.5625
Closeness of Spurrier, Linda : 2027.75
Closeness of Majorov, Aleksandr (II) : 764.1406
Closeness of Jacquet, Jeffrey : 2104.4375
Closeness of Singh, Kuljit : 1884.2969
Closeness of Ballantyne, Paul : 2532.3281
Closeness of Kells, Jane : 2354.0312
Closeness of Cossins, James : 2197.7812
Closeness of Girardot, Annie : 936.7969
Closeness of May, Bert : 2593.3438
Closeness of Boy, Lola : 1452.125
Closeness of Bennett, Ruth (I) : 1959.7969
Closeness of Ellis, June C. (I) : 1852.2656
Closeness of McLellan, Pheona : 2281.0
Closeness of Oka, Yutaka : 1605.6875
Closeness of O'Brien, Mary (IV) : 2398.75
Closeness of Williamson, Simon : 1749.625
Closeness of Ford, Brendon : 1437.8125
Closeness of Reitherman, Bruce : 2212.875
Closeness of Wellman Jr., William : 3056.3125
Closeness of Batchuluun, Nansalmaa : 2.0
Closeness of Morrissey, Betty : 1586.9062
Closeness of John, Elton : 1764.9844
Closeness of Wayland, Len : 2766.9688
Closeness of Reed, Don (I) : 1944.125
Closeness of James, Charity Nicole : 1533.4375
Closeness of Thorne-Smith, Courtney : 1805.8438
Closeness of Pfau, Tracy : 1573.5156
Closeness of Clements, Jill Jane : 1105.5625
Closeness of Pickard, John (I) : 2961.1562
Closeness of L?fgren, Sven (I) : 1092.0938
Closeness of Benham, Joan : 1356.9688
Closeness of Bromberg, J. Edward : 2440.7812
Closeness of Hickman, Bill : 2537.2031
Closeness of Royde, Frank : 3300.3438
Closeness of Cox, Evelyn : 21.5
Closeness of Pedroza, Robert A. : 3300.3438
Closeness of Koumani, Maya : 1420.6094
Closeness of Miller, Karen (I) : 1640.1719
Closeness of Hopf, Hans : 3300.3438
Closeness of MacNeil, Cornell : 926.97656
CPU time to process queries : 3325 millisec

Memory consumption: 126017024 bytes

